year,endpoint,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95
2011,Stroke,0.52,0.67,0.55,1.09,1.79,2.87,5.38,9.5,21.08,42.64,67.63,118.74,233.08,410.48,762.6,1369.96,2536.35,3734.53,4840.48,6388.52
2012,COPD,0.06,0.05,0.05,0.18,0.25,0.42,0.73,1.15,2.62,6.07,11.34,25.97,68.22,151.41,349.8,718.98,1473.83,2456.04,3678.64,5342.88
2012,IHD,0,0,0,0.94,1.8,3.51,6.23,9.29,18.44,36.35,51.41,85.46,162.3,273.97,498.87,952.82,1949.34,3592.94,6217.47,10021.25
2012,LC,0,0,0,0.15,0.3,0.78,1.8,3.43,8.32,20.54,34.08,64.53,117.9,176.83,248.02,344.07,409.76,410.33,376.95,383.78
2012,LRI,8.06,2.05,0.91,0.54,0.51,0.64,0.74,0.87,1.23,2.11,3.01,5.14,9.52,17.43,37.13,82.03,202.12,418.84,823.04,1542.79
2012,NCD+LRI,31.89,15.69,12.17,12.41,15.95,26.67,43.09,64.93,122.67,243.15,351.15,590.09,1082.51,1782.33,2993.1,5281.61,9466.77,15164.14,23397.13,34547.43
2012,Stroke,0.47,0.66,0.55,1.06,1.61,2.95,5.33,9.1,20.17,44.03,67.63,117.92,233.47,417.54,748.63,1357.96,2409.18,3584.22,4683.19,6196.46
2013,COPD,0.06,0.05,0.06,0.18,0.22,0.43,0.74,1.07,2.43,5.86,11.31,23.3,65.68,146.31,324.07,668.06,1325.86,2254.46,3448.91,5069.07
2013,IHD,0,0,0,0.97,1.71,3.83,6.84,9.45,18.27,37.05,53.72,81.66,166.17,285.36,486.21,927.42,1840.18,3459.24,6126.62,9944.54
2013,LC,0,0,0,0.15,0.28,0.83,1.91,3.41,8.08,20.55,35.6,61.62,121.67,185.65,245.76,336.34,394.25,400.99,374.95,385.03
2013,LRI,7.29,1.99,0.97,0.54,0.47,0.67,0.78,0.84,1.18,2.09,3.11,4.83,9.58,17.58,35.48,78.14,185.39,394.21,786.4,1490.02
2013,NCD+LRI,30.17,15.44,12.96,12.58,15.03,28.16,45.67,64.36,118.89,242.52,360.84,555.7,1090.67,1820.52,2895.74,5084.52,8861.86,14442.81,22770.45,33887.69
2013,Stroke,0.43,0.61,0.59,1.09,1.52,3.17,5.75,9.08,19.38,43.58,69.03,109.08,232.65,423.95,716.89,1291.56,2212.28,3352.9,4473.17,5940.78
2014,COPD,0.06,0.05,0.06,0.17,0.2,0.44,0.75,1,2.23,5.69,12.07,20.95,66.2,146.98,317,647.5,1273.5,2138.16,3319.88,4889.58
2014,IHD,0,0,0,0.94,1.52,4.12,7.21,9.43,17.54,37.33,58.56,76.63,173.79,301.69,490.02,920.71,1826.72,3371.06,6084.48,9923.26
2014,LC,0,0,0,0.15,0.26,0.9,1.99,3.38,7.75,20.61,39.07,58.54,129.36,198.69,253.26,337.73,395.92,400.12,378.28,389.96
2014,LRI,6.64,1.93,1,0.53,0.41,0.7,0.79,0.81,1.12,2.07,3.38,4.51,10,18.28,35.45,77.07,180.83,380.31,767.33,1461.87
2014,NCD+LRI,28.56,15.24,13.42,12.41,13.71,29.77,47.43,63.37,113.87,242.16,389.56,521.91,1134.65,1900.19,2922.25,5033.96,8738.67,14058.71,22498.48,33579.22
2014,Stroke,0.38,0.56,0.6,1.06,1.36,3.42,6.06,8.98,18.39,43.37,75.01,100.81,241.57,444.46,721.99,1271.64,2168.71,3220.75,4375,5801.19
2015,COPD,0.06,0.05,0.06,0.16,0.17,0.43,0.73,0.92,2.06,5.49,12.7,19.21,63.78,155.31,314.07,635.24,1274.56,2018.13,3183.44,4674.58
2015,IHD,0,0,0,0.9,1.37,4.26,7.32,9.24,16.87,37.36,62.72,73.22,172.78,329.99,498.19,918.09,1881.13,3217.79,5931.23,9723.35
2015,LC,0,0,0,0.15,0.25,0.93,2.02,3.33,7.49,20.58,42.16,56.5,131.7,220.12,263.59,341.87,409.59,398.59,379.64,392.36
2015,LRI,5.79,1.87,0.99,0.51,0.37,0.7,0.78,0.77,1.07,2.03,3.6,4.26,9.91,19.78,35.69,76.5,183.76,362.05,743.5,1419.13
2015,NCD+LRI,25.98,15.14,13.59,12.1,12.67,30.34,47.64,61.73,109.65,240.33,413.61,498.27,1125.69,2056.15,2972.19,5009.74,8906.05,13533.13,21955.79,32839.56
2015,Stroke,0.32,0.54,0.59,1.02,1.21,3.49,6.09,8.67,17.42,42.69,79.77,94.64,238.09,481.11,732.41,1257.67,2210.58,3041.13,4225.54,5594.11
2016,COPD,0.05,0.05,0.06,0.16,0.17,0.42,0.7,0.87,1.98,5.29,12.61,18.33,62.18,151.3,304.57,624.23,1263.89,1971.49,3118.77,4510.85
2016,IHD,0,0,0,0.88,1.34,4.19,7.2,9.1,16.57,36.48,62.15,71.12,169.65,325.86,485.88,901.97,1879.28,3151.91,5860.34,9547.25
2016,LC,0,0,0,0.15,0.24,0.92,2.02,3.31,7.4,20.27,42.79,55.65,132.25,223.96,266.08,343,415.98,402.41,384.58,394.16
2016,LRI,5.03,1.77,0.95,0.5,0.36,0.69,0.76,0.75,1.05,1.98,3.6,4.14,9.82,19.61,35.05,75.66,184.36,356.77,736.41,1392.93
2016,NCD+LRI,23.5,14.71,13.33,11.94,12.49,30.05,47.1,60.92,108.48,236.23,415.15,487.42,1115.59,2049.01,2941.12,4963.65,8926.14,13373.68,21792.26,32303.1
2016,Stroke,0.28,0.5,0.56,0.98,1.19,3.44,6.01,8.52,17.14,41.73,79.75,92.18,235.37,477.82,723.13,1244.17,2217.43,2989.3,4188.15,5470.5
2017,COPD,0.05,0.05,0.05,0.16,0.2,0.4,0.67,0.89,2.07,5.07,11.64,18.88,58.91,139.56,292.17,617.44,1241.2,2065.45,3197.65,4531.79
2017,IHD,0,0,0,0.88,1.55,3.9,6.91,9.47,17.36,34.48,56.26,72.67,158.75,296.06,458.45,870.82,1802.49,3277.31,5962.32,9575.59
2017,LC,0,0,0,0.15,0.27,0.89,2,3.45,7.69,19.5,40.28,57.18,125.97,211.06,261.42,340.07,413.51,419.93,397.8,401.43
2017,LRI,4.31,1.6,0.85,0.51,0.42,0.65,0.73,0.78,1.11,1.9,3.28,4.26,9.27,17.94,33.52,74.09,180.21,374.3,755.95,1406.3
2017,NCD+LRI,20.77,13.7,12.24,12.12,14.03,28.83,45.95,62.95,113.25,226.85,386.53,498.65,1058.45,1898.25,2828.05,4855.81,8683.7,13858.63,22231.78,32450.32
2017,Stroke,0.24,0.44,0.48,0.98,1.37,3.2,5.75,8.79,17.96,39.46,72.6,94.88,221.49,436.08,689.45,1212.27,2137.51,3127.91,4287.4,5502.42
