cause,age,alpha,beta,gamma,tmrel
IHD,25,26.14058178,0.004024677,0.376278289,3.253857279
IHD,25,8.727403947,0.018693034,0.347494586,5.217255108
IHD,25,5.096052645,0.017177206,0.405914635,4.950222181
IHD,25,60.67926765,0.003692816,0.291493477,5.22341546
IHD,25,14.16826173,0.007623077,0.399382296,2.814620673
IHD,25,6.821118111,0.02060464,0.39047383,5.168895693
IHD,25,135.0443194,0.002118323,0.264482343,5.464700833
IHD,25,6.765178593,0.021179311,0.379009515,3.617570956
IHD,25,6.846633219,0.021753013,0.373725452,5.341734557
IHD,25,62.67464188,0.001671469,0.378760238,3.684495198
IHD,25,216.9761085,0.000536805,0.372646331,3.606426195
IHD,25,207.7297891,0.000973467,0.299008415,4.833989954
IHD,25,34.48776956,0.003716236,0.360227175,5.234024476
IHD,25,63.69789993,0.002242336,0.332748721,4.339751936
IHD,25,6.568122921,0.018864322,0.400968804,4.702076176
IHD,25,103.9011282,0.000741997,0.400079214,5.179094576
IHD,25,13.69971649,0.005456716,0.421609432,4.699654284
IHD,25,36.70688777,0.002256107,0.398959085,4.764445762
IHD,25,9.952481381,0.015340871,0.360705303,4.569574229
IHD,25,49.83537489,0.001641901,0.389557007,3.245570188
IHD,25,18.34030384,0.003826943,0.446173199,3.961583593
IHD,25,75.54846636,0.002150084,0.312817619,4.466491858
IHD,25,26.24909481,0.005960793,0.34069063,3.904254931
IHD,25,21.43214116,0.006102089,0.351120676,3.72969466
IHD,25,58.95161181,0.001939616,0.364488959,4.527378518
IHD,25,16.86987317,0.01155075,0.316819264,5.226776195
IHD,25,11.66675759,0.019646205,0.300037426,4.325829114
IHD,25,13.50650816,0.007419438,0.405723717,4.737374034
IHD,25,7.460052211,0.016476265,0.382246549,4.548366122
IHD,25,71.39260447,0.00185952,0.351032025,3.388843381
IHD,25,21.93312249,0.00974363,0.298842247,4.632195304
IHD,25,195.055797,0.000899974,0.319350916,4.756284693
IHD,25,16.56688453,0.011168184,0.31252376,5.464189556
IHD,25,65.17071724,0.002054483,0.361113367,3.716569376
IHD,25,18.28343963,0.002402105,0.484294614,5.464791235
IHD,25,32.21390858,0.006426805,0.306062256,3.69582334
IHD,25,7.433003031,0.012217391,0.444438912,5.2144334
IHD,25,32.32416847,0.005641209,0.319440518,5.198317843
IHD,25,15.0032067,0.007476102,0.388502029,5.725608604
IHD,25,6.098671287,0.029920623,0.34420641,3.578928403
IHD,25,5.718827261,0.024682345,0.376948763,5.867813689
IHD,25,5.067372299,0.021383719,0.416347194,3.269373439
IHD,25,32.53728003,0.00244533,0.40908993,4.094644085
IHD,25,352.4174292,0.000361892,0.361132055,4.905434144
IHD,25,286.0485348,0.000448283,0.346404141,4.940138066
IHD,25,13.42324866,0.010239945,0.349988479,3.63827729
IHD,25,32.1955536,0.00582778,0.327986668,3.782585593
IHD,25,14.46897618,0.006592572,0.410801114,5.433948509
IHD,25,11.18154163,0.006792023,0.433353423,4.278981695
IHD,25,41.81121659,0.002944396,0.361669399,3.42783487
IHD,25,52.49649174,0.001937737,0.386119644,2.488227392
IHD,25,15.95547236,0.009465908,0.348388219,5.409348798
