x,y,Country
15.43,84.57,CHN
15.49,84.79,CHN
15.55,85.01,CHN
15.61,85.23,CHN
15.67,85.46,CHN
15.73,85.68,CHN
15.79,85.9,CHN
15.84,86.13,CHN
15.9,86.35,CHN
15.95,86.57,CHN
16.01,86.8,CHN
16.06,87.02,CHN
16.12,87.25,CHN
16.17,87.47,CHN
16.23,87.7,CHN
16.28,87.93,CHN
16.33,88.15,CHN
16.38,88.38,CHN
16.43,88.61,CHN
16.48,88.83,CHN
16.53,89.06,CHN
16.58,89.29,CHN
16.63,89.52,CHN
16.68,89.74,CHN
16.72,89.97,CHN
16.77,90.2,CHN
16.82,90.43,CHN
16.86,90.66,CHN
16.91,90.89,CHN
16.95,91.12,CHN
16.99,91.35,CHN
17.04,91.58,CHN
17.08,91.81,CHN
17.12,92.04,CHN
17.16,92.28,CHN
17.2,92.51,CHN
17.24,92.74,CHN
17.28,92.97,CHN
17.32,93.2,CHN
17.35,93.44,CHN
17.39,93.67,CHN
17.43,93.9,CHN
17.46,94.13,CHN
17.5,94.37,CHN
17.53,94.6,CHN
17.57,94.84,CHN
17.6,95.07,CHN
17.63,95.3,CHN
17.67,95.54,CHN
17.7,95.77,CHN
17.73,96.01,CHN
17.76,96.24,CHN
17.79,96.48,CHN
17.82,96.71,CHN
17.84,96.95,CHN
17.87,97.18,CHN
17.9,97.42,CHN
17.92,97.66,CHN
17.95,97.89,CHN
17.97,98.13,CHN
18,98.37,CHN
18.02,98.6,CHN
18.04,98.84,CHN
18.07,99.08,CHN
18.09,99.31,CHN
18.11,99.55,CHN
18.13,99.79,CHN
18.15,100.02,CHN
18.17,100.26,CHN
18.18,100.5,CHN
18.2,100.74,CHN
18.22,100.98,CHN
18.24,101.21,CHN
18.25,101.45,CHN
18.27,101.69,CHN
18.28,101.93,CHN
18.29,102.17,CHN
18.31,102.41,CHN
18.32,102.64,CHN
18.33,102.88,CHN
18.34,103.12,CHN
18.35,103.36,CHN
18.36,103.6,CHN
18.37,103.84,CHN
18.38,104.08,CHN
18.38,104.32,CHN
18.39,104.55,CHN
18.4,104.79,CHN
18.4,105.03,CHN
18.41,105.27,CHN
18.41,105.51,CHN
18.41,105.75,CHN
18.42,105.99,CHN
18.42,106.23,CHN
18.42,106.47,CHN
18.42,106.71,CHN
18.42,106.95,CHN
18.42,107.19,CHN
18.42,107.42,CHN
18.42,107.66,CHN
18.41,107.9,CHN
18.41,108.14,CHN
18.41,108.38,CHN
18.4,108.62,CHN
18.39,108.86,CHN
18.39,109.1,CHN
18.38,109.34,CHN
18.37,109.58,CHN
18.37,109.82,CHN
18.36,110.05,CHN
18.35,110.29,CHN
18.34,110.53,CHN
18.33,110.77,CHN
18.31,111.01,CHN
18.3,111.25,CHN
18.29,111.49,CHN
18.28,111.72,CHN
18.26,111.96,CHN
18.25,112.2,CHN
18.23,112.44,CHN
18.21,112.68,CHN
18.2,112.91,CHN
18.18,113.15,CHN
18.16,113.39,CHN
18.14,113.63,CHN
18.12,113.87,CHN
18.1,114.1,CHN
18.08,114.34,CHN
18.06,114.58,CHN
18.04,114.81,CHN
18.02,115.05,CHN
17.99,115.29,CHN
17.97,115.52,CHN
17.94,115.76,CHN
17.92,116,CHN
17.89,116.23,CHN
17.86,116.47,CHN
17.84,116.7,CHN
17.81,116.94,CHN
17.78,117.17,CHN
17.75,117.41,CHN
17.72,117.64,CHN
17.69,117.88,CHN
17.66,118.11,CHN
17.62,118.35,CHN
17.59,118.58,CHN
17.56,118.82,CHN
17.52,119.05,CHN
17.49,119.28,CHN
17.45,119.52,CHN
17.42,119.75,CHN
17.38,119.98,CHN
17.34,120.22,CHN
17.31,120.45,CHN
17.27,120.68,CHN
17.23,120.91,CHN
17.19,121.14,CHN
17.15,121.38,CHN
17.11,121.61,CHN
17.07,121.84,CHN
17.02,122.07,CHN
16.98,122.3,CHN
16.94,122.53,CHN
16.89,122.76,CHN
16.85,122.99,CHN
16.8,123.22,CHN
16.76,123.45,CHN
16.71,123.68,CHN
16.66,123.91,CHN
16.62,124.13,CHN
16.57,124.36,CHN
16.52,124.59,CHN
16.47,124.82,CHN
16.42,125.04,CHN
16.37,125.27,CHN
16.32,125.5,CHN
14.94,82.09,CHN
15.01,82.31,CHN
15.07,82.52,CHN
15.14,82.74,CHN
15.2,82.96,CHN
15.27,83.18,CHN
15.33,83.4,CHN
15.4,83.62,CHN
15.46,83.84,CHN
15.52,84.06,CHN
15.58,84.28,CHN
15.64,84.51,CHN
15.71,84.73,CHN
15.77,84.95,CHN
15.82,85.17,CHN
15.88,85.4,CHN
15.94,85.62,CHN
16,85.84,CHN
16.06,86.07,CHN
16.11,86.29,CHN
16.17,86.52,CHN
16.23,86.74,CHN
16.28,86.97,CHN
16.34,87.19,CHN
16.39,87.42,CHN
16.44,87.64,CHN
16.5,87.87,CHN
16.55,88.1,CHN
16.6,88.33,CHN
16.65,88.55,CHN
16.7,88.78,CHN
16.75,89.01,CHN
16.8,89.24,CHN
16.85,89.47,CHN
16.9,89.7,CHN
16.94,89.92,CHN
16.99,90.15,CHN
17.04,90.38,CHN
17.08,90.61,CHN
17.13,90.84,CHN
17.17,91.08,CHN
17.21,91.31,CHN
17.26,91.54,CHN
17.3,91.77,CHN
17.34,92,CHN
17.38,92.23,CHN
17.42,92.46,CHN
17.46,92.7,CHN
17.5,92.93,CHN
17.54,93.16,CHN
17.58,93.4,CHN
17.61,93.63,CHN
17.65,93.86,CHN
17.69,94.1,CHN
17.72,94.33,CHN
17.76,94.57,CHN
17.79,94.8,CHN
17.82,95.03,CHN
17.86,95.27,CHN
17.89,95.5,CHN
17.92,95.74,CHN
17.95,95.98,CHN
17.98,96.21,CHN
18.01,96.45,CHN
18.04,96.68,CHN
18.07,96.92,CHN
18.1,97.16,CHN
18.12,97.39,CHN
18.15,97.63,CHN
18.17,97.87,CHN
18.2,98.1,CHN
18.22,98.34,CHN
18.25,98.58,CHN
18.27,98.81,CHN
18.29,99.05,CHN
18.31,99.29,CHN
18.33,99.53,CHN
18.35,99.77,CHN
18.37,100,CHN
18.39,100.24,CHN
18.41,100.48,CHN
18.43,100.72,CHN
18.45,100.96,CHN
18.46,101.2,CHN
18.48,101.44,CHN
18.49,101.67,CHN
18.51,101.91,CHN
18.52,102.15,CHN
18.53,102.39,CHN
18.54,102.63,CHN
18.56,102.87,CHN
18.57,103.11,CHN
18.58,103.35,CHN
18.59,103.59,CHN
18.6,103.83,CHN
18.6,104.07,CHN
18.61,104.31,CHN
18.62,104.55,CHN
18.62,104.79,CHN
18.63,105.03,CHN
18.63,105.27,CHN
18.64,105.51,CHN
18.64,105.75,CHN
18.64,105.99,CHN
18.65,106.23,CHN
18.65,106.47,CHN
18.65,106.71,CHN
18.65,106.95,CHN
18.65,107.19,CHN
18.64,107.43,CHN
18.64,107.67,CHN
18.64,107.91,CHN
18.64,108.15,CHN
18.63,108.39,CHN
18.63,108.63,CHN
18.62,108.87,CHN
18.62,109.11,CHN
18.61,109.35,CHN
18.6,109.58,CHN
18.59,109.82,CHN
18.58,110.06,CHN
18.57,110.3,CHN
18.56,110.54,CHN
18.55,110.78,CHN
18.54,111.02,CHN
18.53,111.26,CHN
18.52,111.5,CHN
18.5,111.74,CHN
18.49,111.98,CHN
18.47,112.22,CHN
18.46,112.46,CHN
18.44,112.69,CHN
18.42,112.93,CHN
18.41,113.17,CHN
18.39,113.41,CHN
18.37,113.65,CHN
18.35,113.89,CHN
18.33,114.12,CHN
18.31,114.36,CHN
18.29,114.6,CHN
18.26,114.84,CHN
18.24,115.08,CHN
18.22,115.31,CHN
18.19,115.55,CHN
18.17,115.79,CHN
18.14,116.02,CHN
18.12,116.26,CHN
18.09,116.5,CHN
18.06,116.73,CHN
18.03,116.97,CHN
18,117.21,CHN
17.97,117.44,CHN
17.94,117.68,CHN
17.91,117.91,CHN
17.88,118.15,CHN
17.85,118.38,CHN
17.82,118.62,CHN
17.78,118.85,CHN
17.75,119.09,CHN
17.71,119.32,CHN
17.68,119.55,CHN
17.64,119.79,CHN
17.6,120.02,CHN
17.57,120.26,CHN
17.53,120.49,CHN
17.49,120.72,CHN
17.45,120.95,CHN
17.41,121.19,CHN
17.37,121.42,CHN
17.33,121.65,CHN
17.29,121.88,CHN
17.24,122.11,CHN
17.2,122.34,CHN
17.16,122.58,CHN
17.11,122.81,CHN
17.07,123.04,CHN
17.02,123.27,CHN
16.98,123.5,CHN
16.93,123.73,CHN
16.88,123.95,CHN
16.83,124.18,CHN
16.79,124.41,CHN
16.74,124.64,CHN
16.69,124.87,CHN
16.64,125.1,CHN
16.59,125.32,CHN
16.53,125.55,CHN
15.15,82.02,CHN
15.22,82.24,CHN
15.28,82.46,CHN
15.35,82.67,CHN
15.42,82.89,CHN
15.48,83.11,CHN
15.54,83.33,CHN
15.61,83.56,CHN
15.67,83.78,CHN
15.73,84,CHN
15.8,84.22,CHN
15.86,84.44,CHN
15.92,84.66,CHN
15.98,84.89,CHN
16.04,85.11,CHN
16.1,85.33,CHN
16.16,85.56,CHN
16.22,85.78,CHN
16.27,86.01,CHN
16.33,86.23,CHN
16.39,86.46,CHN
16.44,86.68,CHN
16.5,86.91,CHN
16.55,87.14,CHN
16.61,87.36,CHN
16.66,87.59,CHN
16.71,87.82,CHN
16.77,88.04,CHN
16.82,88.27,CHN
16.87,88.5,CHN
16.92,88.73,CHN
16.97,88.96,CHN
17.02,89.19,CHN
17.07,89.42,CHN
17.11,89.65,CHN
17.16,89.88,CHN
17.21,90.11,CHN
17.26,90.34,CHN
17.3,90.57,CHN
17.35,90.8,CHN
17.39,91.03,CHN
17.43,91.26,CHN
17.48,91.49,CHN
17.52,91.72,CHN
17.56,91.96,CHN
17.6,92.19,CHN
17.64,92.42,CHN
17.68,92.66,CHN
17.72,92.89,CHN
17.76,93.12,CHN
17.8,93.36,CHN
17.84,93.59,CHN
17.87,93.82,CHN
17.91,94.06,CHN
17.95,94.29,CHN
17.98,94.53,CHN
18.01,94.76,CHN
18.05,95,CHN
18.08,95.24,CHN
18.11,95.47,CHN
18.14,95.71,CHN
18.18,95.94,CHN
18.21,96.18,CHN
18.24,96.42,CHN
18.26,96.65,CHN
18.29,96.89,CHN
18.32,97.13,CHN
18.35,97.36,CHN
18.37,97.6,CHN
18.4,97.84,CHN
18.42,98.08,CHN
18.45,98.31,CHN
18.47,98.55,CHN
18.5,98.79,CHN
18.52,99.03,CHN
18.54,99.27,CHN
18.56,99.51,CHN
18.58,99.75,CHN
18.6,99.98,CHN
18.62,100.22,CHN
18.64,100.46,CHN
18.66,100.7,CHN
18.67,100.94,CHN
18.69,101.18,CHN
18.7,101.42,CHN
18.72,101.66,CHN
18.73,101.9,CHN
18.75,102.14,CHN
18.76,102.38,CHN
18.77,102.62,CHN
18.78,102.86,CHN
18.79,103.1,CHN
18.8,103.34,CHN
18.81,103.58,CHN
18.82,103.82,CHN
18.83,104.06,CHN
18.84,104.3,CHN
18.84,104.54,CHN
18.85,104.78,CHN
18.86,105.02,CHN
18.86,105.26,CHN
18.87,105.5,CHN
18.87,105.74,CHN
18.87,105.98,CHN
18.87,106.22,CHN
18.87,106.47,CHN
18.87,106.71,CHN
18.87,106.95,CHN
18.87,107.19,CHN
18.87,107.43,CHN
18.87,107.67,CHN
18.87,107.91,CHN
18.86,108.15,CHN
18.86,108.39,CHN
18.85,108.63,CHN
18.85,108.87,CHN
18.84,109.11,CHN
18.84,109.35,CHN
18.83,109.59,CHN
18.82,109.83,CHN
18.81,110.07,CHN
18.8,110.31,CHN
18.79,110.55,CHN
18.78,110.79,CHN
18.77,111.03,CHN
18.76,111.27,CHN
18.74,111.51,CHN
18.73,111.75,CHN
18.72,111.99,CHN
18.7,112.23,CHN
18.68,112.47,CHN
18.67,112.71,CHN
18.65,112.95,CHN
18.63,113.19,CHN
18.61,113.43,CHN
18.6,113.67,CHN
18.58,113.91,CHN
18.55,114.15,CHN
18.53,114.38,CHN
18.51,114.62,CHN
18.49,114.86,CHN
18.47,115.1,CHN
18.44,115.34,CHN
18.42,115.58,CHN
18.39,115.81,CHN
18.37,116.05,CHN
18.34,116.29,CHN
18.31,116.53,CHN
18.29,116.76,CHN
18.26,117,CHN
18.23,117.24,CHN
18.2,117.47,CHN
18.17,117.71,CHN
18.14,117.95,CHN
18.1,118.18,CHN
18.07,118.42,CHN
18.04,118.65,CHN
18.01,118.89,CHN
17.97,119.12,CHN
17.94,119.36,CHN
17.9,119.59,CHN
17.86,119.83,CHN
17.83,120.06,CHN
17.79,120.29,CHN
17.75,120.53,CHN
17.71,120.76,CHN
17.67,121,CHN
17.63,121.23,CHN
17.59,121.46,CHN
17.55,121.69,CHN
17.51,121.93,CHN
17.47,122.16,CHN
17.42,122.39,CHN
17.38,122.62,CHN
17.33,122.85,CHN
17.29,123.08,CHN
17.24,123.31,CHN
17.2,123.54,CHN
17.15,123.78,CHN
17.1,124,CHN
17.05,124.23,CHN
17.01,124.46,CHN
16.96,124.69,CHN
16.91,124.92,CHN
16.85,125.15,CHN
16.8,125.38,CHN
16.75,125.61,CHN
15.36,81.95,CHN
15.43,82.17,CHN
15.5,82.39,CHN
15.56,82.61,CHN
15.63,82.83,CHN
15.69,83.05,CHN
15.76,83.27,CHN
15.82,83.49,CHN
15.88,83.71,CHN
15.95,83.93,CHN
16.01,84.16,CHN
16.07,84.38,CHN
16.13,84.6,CHN
16.19,84.82,CHN
16.25,85.05,CHN
16.31,85.27,CHN
16.37,85.5,CHN
16.43,85.72,CHN
16.49,85.95,CHN
16.55,86.17,CHN
16.6,86.4,CHN
16.66,86.63,CHN
16.71,86.85,CHN
16.77,87.08,CHN
16.82,87.31,CHN
16.88,87.53,CHN
16.93,87.76,CHN
16.98,87.99,CHN
17.04,88.22,CHN
17.09,88.45,CHN
17.14,88.68,CHN
17.19,88.91,CHN
17.24,89.13,CHN
17.29,89.36,CHN
17.33,89.6,CHN
17.38,89.83,CHN
17.43,90.06,CHN
17.48,90.29,CHN
17.52,90.52,CHN
17.57,90.75,CHN
17.61,90.98,CHN
17.66,91.22,CHN
17.7,91.45,CHN
17.74,91.68,CHN
17.78,91.91,CHN
17.82,92.15,CHN
17.87,92.38,CHN
17.91,92.61,CHN
17.95,92.85,CHN
17.98,93.08,CHN
18.02,93.32,CHN
18.06,93.55,CHN
18.1,93.79,CHN
18.13,94.02,CHN
18.17,94.26,CHN
18.2,94.49,CHN
18.24,94.73,CHN
18.27,94.96,CHN
18.3,95.2,CHN
18.34,95.44,CHN
18.37,95.67,CHN
18.4,95.91,CHN
18.43,96.15,CHN
18.46,96.39,CHN
18.49,96.62,CHN
18.52,96.86,CHN
18.55,97.1,CHN
18.57,97.34,CHN
18.6,97.57,CHN
18.62,97.81,CHN
18.65,98.05,CHN
18.67,98.29,CHN
18.7,98.53,CHN
18.72,98.77,CHN
18.74,99.01,CHN
18.77,99.25,CHN
18.79,99.48,CHN
18.81,99.72,CHN
18.83,99.96,CHN
18.85,100.2,CHN
18.86,100.44,CHN
18.88,100.68,CHN
18.9,100.92,CHN
18.92,101.16,CHN
18.93,101.4,CHN
18.95,101.64,CHN
18.96,101.88,CHN
18.97,102.12,CHN
18.99,102.37,CHN
19,102.61,CHN
19.01,102.85,CHN
19.02,103.09,CHN
19.03,103.33,CHN
19.04,103.57,CHN
19.05,103.81,CHN
19.06,104.05,CHN
19.07,104.29,CHN
19.07,104.53,CHN
19.08,104.78,CHN
19.08,105.02,CHN
19.09,105.26,CHN
19.09,105.5,CHN
19.1,105.74,CHN
19.1,105.98,CHN
19.1,106.22,CHN
19.1,106.46,CHN
19.1,106.71,CHN
19.1,106.95,CHN
19.1,107.19,CHN
19.1,107.43,CHN
19.1,107.67,CHN
19.1,107.91,CHN
19.09,108.15,CHN
19.09,108.4,CHN
19.08,108.64,CHN
19.08,108.88,CHN
19.07,109.12,CHN
19.06,109.36,CHN
19.06,109.6,CHN
19.05,109.84,CHN
