x,y,human20_585
17.31,120.45,83337.276
17.27,120.68,10639.56821
17.23,120.91,36916.5923
17.19,121.14,16731.67055
17.15,121.38,120355.82
17.11,121.61,165305.4668
17.07,121.84,76517.28454
17.02,122.07,6548.591527
16.98,122.3,
16.94,122.53,
16.89,122.76,
16.85,122.99,
16.8,123.22,
16.76,123.45,
16.71,123.68,
16.66,123.91,
16.62,124.13,
16.57,124.36,
16.52,124.59,
16.47,124.82,
16.42,125.04,
16.37,125.27,
16.32,125.5,0
14.94,82.09,0
15.01,82.31,0
15.07,82.52,0
15.14,82.74,0
15.2,82.96,0
15.27,83.18,0
15.33,83.4,0
15.4,83.62,0
15.46,83.84,0
15.52,84.06,0
15.58,84.28,0
15.64,84.51,0
15.71,84.73,0
15.77,84.95,0
15.82,85.17,0
15.88,85.4,0
15.94,85.62,0
16,85.84,0
16.06,86.07,0
16.11,86.29,0
16.17,86.52,0
16.23,86.74,0
16.28,86.97,0
16.34,87.19,0
16.39,87.42,0
16.44,87.64,0
16.5,87.87,0
16.55,88.1,0
16.6,88.33,0
16.65,88.55,0
16.7,88.78,0
16.75,89.01,0
16.8,89.24,0
16.85,89.47,0
16.9,89.7,0
16.94,89.92,
16.99,90.15,
17.04,90.38,
17.08,90.61,
17.13,90.84,
17.17,91.08,
17.21,91.31,
17.26,91.54,
17.3,91.77,
17.34,92,
17.38,92.23,
17.42,92.46,
17.46,92.7,
17.5,92.93,
17.54,93.16,
17.58,93.4,
17.61,93.63,
17.65,93.86,
17.69,94.1,
17.72,94.33,
17.76,94.57,22789.33257
17.79,94.8,86679.84938
17.82,95.03,75554.71027
17.86,95.27,90140.02561
17.89,95.5,97633.64412
17.92,95.74,95153.28473
17.95,95.98,88674.43759
17.98,96.21,52258.13674
18.01,96.45,80722.42593
18.04,96.68,38283.41829
18.07,96.92,22554.25792
18.1,97.16,2700.217115
18.12,97.39,3829.000366
18.15,97.63,9811.119153
18.17,97.87,14179.47554
18.2,98.1,17317.86086
18.22,98.34,22744.82733
18.25,98.58,64535.76877
18.27,98.81,108937.3863
18.29,99.05,61704.13983
18.31,99.29,87374.58089
18.33,99.53,70705.94468
18.35,99.77,19908.39629
18.37,100,25852.96139
18.39,100.24,28864.19204
18.41,100.48,15548.60743
18.43,100.72,21405.62774
18.45,100.96,10720.43721
18.46,101.2,6225.689209
18.48,101.44,10231.68228
18.49,101.67,3863.354005
18.51,101.91,29000.72739
18.52,102.15,25314.83873
18.53,102.39,27566.99343
18.54,102.63,8660.497516
18.56,102.87,13102.39058
18.57,103.11,6200.221434
18.58,103.35,8393.92068
18.59,103.59,14265.49383
18.6,103.83,8354.073041
18.6,104.07,6927.476975
18.61,104.31,3198.207295
18.62,104.55,4634.971094
18.62,104.79,39673.13908
18.63,105.03,110944.9494
18.63,105.27,267807.0665
18.64,105.51,
