x,y,human20_585
14.99,83.03,32.28688
15.06,83.25,32.25938
15.12,83.47,32.209896
15.18,83.69,32.177013
15.25,83.91,32.17877
15.31,84.13,32.190987
15.37,84.35,32.204376
15.43,84.57,32.242065
15.49,84.79,32.255657
15.55,85.01,32.29565
15.61,85.23,32.297638
15.67,85.46,32.296074
15.73,85.68,32.25486
15.79,85.9,32.203777
15.84,86.13,32.151596
15.9,86.35,32.100086
15.95,86.57,32.029896
16.01,86.8,31.999466
16.06,87.02,31.955046
16.12,87.25,31.912111
16.17,87.47,31.853003
16.23,87.7,31.75462
16.28,87.93,31.595778
16.33,88.15,31.440245
16.38,88.38,31.255919
16.43,88.61,31.085152
16.48,88.83,30.940254
16.53,89.06,30.787483
16.58,89.29,30.617798
16.63,89.52,30.44198
16.68,89.74,30.25141
16.72,89.97,30.050884
16.77,90.2,29.836187
16.82,90.43,29.62517
16.86,90.66,29.37295
16.91,90.89,29.147137
16.95,91.12,28.908947
16.99,91.35,28.657877
17.04,91.58,28.382624
17.08,91.81,28.142122
17.12,92.04,27.865171
17.16,92.28,27.630302
17.2,92.51,27.366354
17.24,92.74,27.182068
17.28,92.97,26.985197
17.32,93.2,26.819262
17.35,93.44,26.688221
17.39,93.67,26.627314
17.43,93.9,26.546305
17.46,94.13,26.487415
17.5,94.37,26.307522
17.53,94.6,25.3519
17.57,94.84,24.95188
17.6,95.07,24.796501
17.63,95.3,24.466425
17.67,95.54,23.870245
17.7,95.77,23.001621
17.73,96.01,23.90033
17.76,96.24,23.434671
17.79,96.48,22.325403
17.82,96.71,21.458332
17.84,96.95,21.833515
17.87,97.18,23.98337
17.9,97.42,24.17887
17.92,97.66,24.647171
17.95,97.89,24.11551
17.97,98.13,24.167395
18,98.37,23.714775
18.02,98.6,23.867891
18.04,98.84,24.427652
18.07,99.08,24.304699
18.09,99.31,23.623022
18.11,99.55,23.810827
18.13,99.79,23.86532
18.15,100.02,24.184576
18.17,100.26,24.917236
18.18,100.5,25.685398
18.2,100.74,25.55772
18.22,100.98,25.63714
18.24,101.21,25.951048
18.25,101.45,26.341425
18.27,101.69,25.113123
18.28,101.93,25.423841
18.29,102.17,24.426691
18.31,102.41,24.343254
18.32,102.64,25.156475
18.33,102.88,26.286669
18.34,103.12,25.330236
18.35,103.36,24.463596
18.36,103.6,24.629307
18.37,103.84,25.56082
18.38,104.08,25.680223
18.38,104.32,26.357483
18.39,104.55,25.756262
18.4,104.79,25.823837
18.4,105.03,25.84312
18.41,105.27,25.336746
18.41,105.51,25.00588
18.41,105.75,25.78198
18.42,105.99,26.115242
18.42,106.23,27.648962
18.42,106.47,29.311718
18.42,106.71,30.753162
18.42,106.95,31.650341
18.42,107.19,32.24219
18.42,107.42,32.50303
18.42,107.66,32.625446
18.41,107.9,32.552982
18.41,108.14,32.46917
18.41,108.38,32.419968
18.4,108.62,32.698265
18.39,108.86,32.804474
18.39,109.1,31.471027
18.38,109.34,31.941902
18.37,109.58,32.48511
18.37,109.82,33.202972
18.36,110.05,32.727386
18.35,110.29,31.364843
